State,Population,Area,Density
Maharashtra,112374333,307713,365
Bihar,104099452,94163,1106
West Bengal,91276111,88752,1028
Andhra Pradesh,84580777,275045,308
Madhya Pradesh,72626809,308252,236
Tamil Nadu,72147030,130060,555
Rajasthan,68548437,342239,200
Karnataka,61095297,191871,319
Gujarat,60439692,96244,308
Orissa,41974218,155707,270
Kerala,33406061,38852,860
Jharkhand,32988134,79716,414
Assam,31205576,78438,398
Punjab,27743338,50346,551
Chhattisgarh,25545198,135192,189
Haryana,2251462,44212,573
Delhi,16787941,1483,11320
Jammu and Kashmir,12541302,222236,56
Uttarakhand,10086292,53483,189
Himachal Pradesh,6864602,55678,123
Tripura,3673917,10486,350
Meghalaya,2966889,22429,132
Manipur,2855794,22327,128
Nagaland,1978502,16579,119
Goa,1458545,3702,394
Arunachal Pradesh,1383727,83743,17
Puducherry,1247953,490,2547
Mizoram,107207,21081,52
